Design,Strut Radius (um) ,Center Mass Radius (µm) ,Corner Mass Radius (um) ,Bandgap 1 Width (MHz),Bandgap 1 Center (MHz),Bandgap 2 Width (MHz),Bandgap 2 Center (MHz),Bandgap 3 Width (MHz),Bandgap 3 Center (MHz)
BC Corner Mass ,5,,16,1.4161,7.04595,,,,
BC Corner Mass ,5,,17,1.7353,7.32865,,,,
BC Center Mass,5,13,,0.1782,2.3173,1.2544,6.6664,,
BC Center Mass,5,14,,0.1773,2.24825,1.2823,6.67475,,
BC Center Mass,5,16,,0.1538,2.1185,1.4744,6.7659,,
BC Center Mass,5,17,,0.1323,2.06125,1.6373,6.85425,,
BC Center Mass,5,19,,0.058,1.9815,0.2128,4.6301,2.0829,7.07175
BC Corner Mass ,5.5,,13,0.4316,6.5804,,,,
BC Corner Mass ,5.5,,14,0.5816,6.7633,0.0649,8.97435,,
BC Corner Mass ,5.5,,16,1.1205,7.45485,0.201300000000002,9.65755,,
BC Corner Mass ,5.5,,17,1.4142,7.7282,0.200000000000001,10.137,,
BC Corner Mass ,5.5,,19,2.122,8.2567,,,,
BC Center Mass,5.5,13,,1.0796,7.9627,,,,
BC Center Mass,5.5,14,,0.9736,7.943,,,,
BC Center Mass,5.5,16,,0.9832,7.9054,,,,
BC Corner Mass ,6,,13,0.3488,7.162,0.3231,9.37285,,
BC Corner Mass ,6,,14,0.473500000000001,7.12875,0.2415,9.34005,,
BC Corner Mass ,6,,16,0.828200000000001,7.6543,0.4245,9.97975,,
BC Corner Mass ,6,,17,1.0966,7.95,0.388,10.497,,
BC Corner Mass ,6,,19,1.7197,8.52985,,,,
BC Center Mass,6,13,,1.0126,8.9295,,,,
BC Center Mass,6,14,,0.891399999999999,8.8495,,,,
BC Center Mass,6,16,,0.7256,8.7833,,,,
BC Center Mass,6,17,,0.729800000000001,8.7989,,,,
BC Center Mass,6,19,,0.992799999999999,8.917,,,,
BC Corner Mass ,6.25,,13,0.294899999999999,7.33875,0.370700000000001,9.66835,,
BC Corner Mass ,6.25,,14,0.372599999999999,7.4283,0.378499999999999,9.75335,,
BC Corner Mass ,6.25,,16,0.6874,7.7508,0.441099999999999,10.14345,,
BC Corner Mass ,6.25,,17,0.924599999999999,8.0443,0.418000000000001,10.672,,
BC Corner Mass ,6.25,,19,1.4756,8.6197,,,,
BC Center Mass,6.25,13,,1.0011,9.40515,,,,
BC Center Mass,6.25,14,,0.8462,9.3278,,,,
BC Center Mass,6.25,16,,0.6167,9.23235,,,,
BC Center Mass,6.25,19,,0.773800000000001,9.3219,,,,
BC Both,4,11,11,0.1487,2.13475,0.7117,6.10435,,
BC Both,4,11,13,0.069,2.363,0.4796,6.3973,,
BC Both,4,15,11,0.138,1.8527,1.3794,6.0571,,
BC Both,4,15,13,0.0524,2.061,0.5447,6.41585,,
BC Both,4.5,11,11,0.1149,2.45275,0.771599999999999,6.6693,,
BC Both,4.5,11,13,0.7418,6.9761,,,,
BC Both,4.5,13,11,0.1416,2.2844,1.286,6.3601,,
BC Both,4.5,15,11,0.1177,2.14855,1.4386,6.4282,,
BC Both,4.5,15,13,0.6622,6.8933,,,,
BC Both,4.75,11,11,0.0942,2.6084,0.872,7.0169,,
BC Both,5.5,11,11,0.8634,8.2858,,,,
BC Both,5.5,11,13,0.822699999999999,8.41655,,,,
BC Both,5.5,11,15,0.7409,8.86085,,,,
BC Both,5.5,13,11,1.0572,7.9833,,,,
BC Both,5.5,13,13,1.039,8.028,,,,
BC Both,5.5,15,11,0.9258,7.926,,,,
BC Both,5.5,15,13,0.818699999999999,8.03245,,,,
BC Both,5.5,15,15,0.1579,8.67175,,,,
BC Both,6,11,11,0.7209,9.16195,,,,
BC Both,6,11,13,0.7278,9.3774,,,,
BC Both,6,11,15,0.666400000000001,9.4708,,,,
BC Both,6,13,11,1.0065,8.92425,,,,
BC Both,6,13,13,0.892000000000001,9.1072,,,,
BC Both,6,13,15,0.8706,9.1927,,,,
BC Both,5.665930146,7.059401121,6.956329775,0.2782,6.5788,0.078100000000001,8.70035,,
BC Both,5.756459595,7.702675182,9.322375395,0.2717,6.69815,0.2134,8.8084,,
BC Both,4.605516582,5.520086276,5.826851188,0.0725,2.60955,0.1685,5.24275,,
BC Both,5.799545352,6.885720636,9.027019227,0.2828,6.7496,0.1394,8.8936,,
BC Both,5.351814578,6.063820641,5.662314147,0.2843,6.20315,,,,
BC Both,5.832643124,8.168176413,4.773094791,0.2172,6.764,0.335900000000001,8.87845,,
